"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年8月26日","551.50","558.00","558.00","547.00","15.63M","1.29%"
"2020年8月25日","544.50","548.00","549.00","537.00","18.01M","-0.64%"
"2020年8月24日","548.00","533.50","548.50","531.00","27.41M","5.79%"
"2020年8月21日","518.00","529.00","529.00","512.00","18.25M","1.97%"
"2020年8月20日","508.00","518.00","518.00","502.00","14.26M","0.40%"
"2020年8月19日","506.00","512.50","519.00","504.00","11.10M","-1.17%"
"2020年8月18日","512.00","517.50","518.00","509.50","13.39M","1.49%"
"2020年8月17日","504.50","520.00","520.00","502.00","14.79M","-0.39%"
"2020年8月14日","506.50","508.00","514.00","501.00","17.99M","-0.69%"
"2020年8月13日","510.00","556.00","556.00","508.50","27.25M","-2.02%"
"2020年8月12日","520.50","524.00","524.00","504.50","18.94M","1.36%"
"2020年8月11日","513.50","552.00","552.00","502.00","25.50M","2.29%"
"2020年8月10日","502.00","510.00","517.00","500.00","47.87M","-4.83%"
"2020年8月7日","527.50","564.00","564.00","500.00","62.12M","-5.04%"
"2020年8月6日","555.50","565.00","570.00","544.00","20.57M","-0.98%"
"2020年8月5日","561.00","557.00","562.50","546.50","15.88M","2.00%"
"2020年8月4日","550.00","546.00","556.50","540.00","20.18M","2.04%"
"2020年8月3日","539.00","536.00","541.50","528.00","18.08M","0.94%"
"2020年7月31日","534.00","540.00","550.00","534.00","15.63M","-0.19%"
"2020年7月30日","535.00","547.00","549.50","532.00","13.70M","-1.20%"
"2020年7月29日","541.50","536.50","542.50","533.00","12.48M","-0.37%"
"2020年7月28日","543.50","535.00","544.50","529.00","21.53M","4.52%"
"2020年7月27日","520.00","530.00","538.00","515.00","18.69M","-1.52%"